q_id,query,linked_word,paragraph_text,gold_article_id,faiss_rank,rerank_rank,faiss_article_ids,rerank_article_ids
28,"Retrieve the correct article for the term 'Craig Mazin' given this context: Episode 2 "" Please Remain Calm "" Name Please Remain Calm Release date May 13, 2019 Runtime 62 minutes Director Johan Renck Writer Craig Mazin Episode guide Previous Next Episode 1 Episode 3 Episodes Episode 1 • Episode 2 • Episode 3 • Episode 4 • Episode 5
"" Episode 2 "" (named: "" Please Remain Calm "") is the second episode of Chernobyl . It was written by Craig Mazin and directed by Johan Renck . The episode first aired on May 13, 2019 on the US pay TV channel HBO.",Craig Mazin,"Episode 2 "" Please Remain Calm "" Name Please Remain Calm Release date May 13, 2019 Runtime 62 minutes Director Johan Renck Writer Craig Mazin Episode guide Previous Next Episode 1 Episode 3 Episodes Episode 1 • Episode 2 • Episode 3 • Episode 4 • Episode 5
"" Episode 2 "" (named: "" Please Remain Calm "") is the second episode of Chernobyl . It was written by Craig Mazin and directed by Johan Renck . The episode first aired on May 13, 2019 on the US pay TV channel HBO.",147,7,9,181|180|175|183|146|174|147|182|177|148|178|179|149|176|152|154|155|150|191|153|1|151|187|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191,177|176|174|178|175|148|180|146|147|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|1|181|182|183|154|155|153|149|151|152|150|179|187
29,"Retrieve the correct article for the term 'Episode 1' given this context: Episode 2 "" Please Remain Calm "" Name Please Remain Calm Release date May 13, 2019 Runtime 62 minutes Director Johan Renck Writer Craig Mazin Episode guide Previous Next Episode 1 Episode 3 Episodes Episode 1 • Episode 2 • Episode 3 • Episode 4 • Episode 5
"" Episode 2 "" (named: "" Please Remain Calm "") is the second episode of Chernobyl . It was written by Craig Mazin and directed by Johan Renck . The episode first aired on May 13, 2019 on the US pay TV channel HBO.",Episode 1,"Episode 2 "" Please Remain Calm "" Name Please Remain Calm Release date May 13, 2019 Runtime 62 minutes Director Johan Renck Writer Craig Mazin Episode guide Previous Next Episode 1 Episode 3 Episodes Episode 1 • Episode 2 • Episode 3 • Episode 4 • Episode 5
"" Episode 2 "" (named: "" Please Remain Calm "") is the second episode of Chernobyl . It was written by Craig Mazin and directed by Johan Renck . The episode first aired on May 13, 2019 on the US pay TV channel HBO.",174,7,3,183|181|180|175|146|182|174|177|178|179|149|148|176|155|154|191|150|152|147|1|151|153|187|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191,177|176|174|178|175|148|180|146|147|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|1|181|182|183|154|155|179|153|151|149|150|152|187
30,"Retrieve the correct article for the term 'Episode 3' given this context: Episode 2 "" Please Remain Calm "" Name Please Remain Calm Release date May 13, 2019 Runtime 62 minutes Director Johan Renck Writer Craig Mazin Episode guide Previous Next Episode 1 Episode 3 Episodes Episode 1 • Episode 2 • Episode 3 • Episode 4 • Episode 5
"" Episode 2 "" (named: "" Please Remain Calm "") is the second episode of Chernobyl . It was written by Craig Mazin and directed by Johan Renck . The episode first aired on May 13, 2019 on the US pay TV channel HBO.",Episode 3,"Episode 2 "" Please Remain Calm "" Name Please Remain Calm Release date May 13, 2019 Runtime 62 minutes Director Johan Renck Writer Craig Mazin Episode guide Previous Next Episode 1 Episode 3 Episodes Episode 1 • Episode 2 • Episode 3 • Episode 4 • Episode 5
"" Episode 2 "" (named: "" Please Remain Calm "") is the second episode of Chernobyl . It was written by Craig Mazin and directed by Johan Renck . The episode first aired on May 13, 2019 on the US pay TV channel HBO.",176,13,2,183|181|180|175|146|182|177|174|178|179|148|149|176|155|154|147|191|150|152|1|153|151|187|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191,177|176|174|178|175|148|180|146|147|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|1|181|182|183|154|155|153|179|151|149|150|152|187
31,"Retrieve the correct article for the term 'Episode 1' given this context: Episode 2 "" Please Remain Calm "" Name Please Remain Calm Release date May 13, 2019 Runtime 62 minutes Director Johan Renck Writer Craig Mazin Episode guide Previous Next Episode 1 Episode 3 Episodes Episode 1 • Episode 2 • Episode 3 • Episode 4 • Episode 5
"" Episode 2 "" (named: "" Please Remain Calm "") is the second episode of Chernobyl . It was written by Craig Mazin and directed by Johan Renck . The episode first aired on May 13, 2019 on the US pay TV channel HBO.",Episode 1,"Episode 2 "" Please Remain Calm "" Name Please Remain Calm Release date May 13, 2019 Runtime 62 minutes Director Johan Renck Writer Craig Mazin Episode guide Previous Next Episode 1 Episode 3 Episodes Episode 1 • Episode 2 • Episode 3 • Episode 4 • Episode 5
"" Episode 2 "" (named: "" Please Remain Calm "") is the second episode of Chernobyl . It was written by Craig Mazin and directed by Johan Renck . The episode first aired on May 13, 2019 on the US pay TV channel HBO.",174,7,3,183|181|180|175|146|182|174|177|178|179|149|148|176|155|154|191|150|152|147|1|151|153|187|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191,177|176|174|178|175|148|180|146|147|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|1|181|182|183|154|155|179|153|151|149|150|152|187
32,"Retrieve the correct article for the term 'Episode 3' given this context: Episode 2 "" Please Remain Calm "" Name Please Remain Calm Release date May 13, 2019 Runtime 62 minutes Director Johan Renck Writer Craig Mazin Episode guide Previous Next Episode 1 Episode 3 Episodes Episode 1 • Episode 2 • Episode 3 • Episode 4 • Episode 5
"" Episode 2 "" (named: "" Please Remain Calm "") is the second episode of Chernobyl . It was written by Craig Mazin and directed by Johan Renck . The episode first aired on May 13, 2019 on the US pay TV channel HBO.",Episode 3,"Episode 2 "" Please Remain Calm "" Name Please Remain Calm Release date May 13, 2019 Runtime 62 minutes Director Johan Renck Writer Craig Mazin Episode guide Previous Next Episode 1 Episode 3 Episodes Episode 1 • Episode 2 • Episode 3 • Episode 4 • Episode 5
"" Episode 2 "" (named: "" Please Remain Calm "") is the second episode of Chernobyl . It was written by Craig Mazin and directed by Johan Renck . The episode first aired on May 13, 2019 on the US pay TV channel HBO.",176,13,2,183|181|180|175|146|182|177|174|178|179|148|149|176|155|154|147|191|150|152|1|153|151|187|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191,177|176|174|178|175|148|180|146|147|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|1|181|182|183|154|155|153|179|151|149|150|152|187
33,"Retrieve the correct article for the term 'Episode 4' given this context: Episode 2 "" Please Remain Calm "" Name Please Remain Calm Release date May 13, 2019 Runtime 62 minutes Director Johan Renck Writer Craig Mazin Episode guide Previous Next Episode 1 Episode 3 Episodes Episode 1 • Episode 2 • Episode 3 • Episode 4 • Episode 5
"" Episode 2 "" (named: "" Please Remain Calm "") is the second episode of Chernobyl . It was written by Craig Mazin and directed by Johan Renck . The episode first aired on May 13, 2019 on the US pay TV channel HBO.",Episode 4,"Episode 2 "" Please Remain Calm "" Name Please Remain Calm Release date May 13, 2019 Runtime 62 minutes Director Johan Renck Writer Craig Mazin Episode guide Previous Next Episode 1 Episode 3 Episodes Episode 1 • Episode 2 • Episode 3 • Episode 4 • Episode 5
"" Episode 2 "" (named: "" Please Remain Calm "") is the second episode of Chernobyl . It was written by Craig Mazin and directed by Johan Renck . The episode first aired on May 13, 2019 on the US pay TV channel HBO.",177,8,1,183|181|180|175|146|182|174|177|178|179|149|148|176|147|155|191|154|150|152|1|151|153|187|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191,177|176|174|178|175|148|180|146|147|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|1|181|182|183|154|155|153|179|151|149|150|152|187
34,"Retrieve the correct article for the term 'Episode 5' given this context: Episode 2 "" Please Remain Calm "" Name Please Remain Calm Release date May 13, 2019 Runtime 62 minutes Director Johan Renck Writer Craig Mazin Episode guide Previous Next Episode 1 Episode 3 Episodes Episode 1 • Episode 2 • Episode 3 • Episode 4 • Episode 5
"" Episode 2 "" (named: "" Please Remain Calm "") is the second episode of Chernobyl . It was written by Craig Mazin and directed by Johan Renck . The episode first aired on May 13, 2019 on the US pay TV channel HBO.",Episode 5,"Episode 2 "" Please Remain Calm "" Name Please Remain Calm Release date May 13, 2019 Runtime 62 minutes Director Johan Renck Writer Craig Mazin Episode guide Previous Next Episode 1 Episode 3 Episodes Episode 1 • Episode 2 • Episode 3 • Episode 4 • Episode 5
"" Episode 2 "" (named: "" Please Remain Calm "") is the second episode of Chernobyl . It was written by Craig Mazin and directed by Johan Renck . The episode first aired on May 13, 2019 on the US pay TV channel HBO.",178,7,5,183|181|175|180|182|146|178|177|174|179|149|148|176|155|154|150|152|191|147|1|153|151|187|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191,177|176|174|175|178|148|180|146|147|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|1|181|182|183|154|155|153|179|151|149|150|152|187
35,"Retrieve the correct article for the term 'Chernobyl' given this context: Episode 2 "" Please Remain Calm "" Name Please Remain Calm Release date May 13, 2019 Runtime 62 minutes Director Johan Renck Writer Craig Mazin Episode guide Previous Next Episode 1 Episode 3 Episodes Episode 1 • Episode 2 • Episode 3 • Episode 4 • Episode 5
"" Episode 2 "" (named: "" Please Remain Calm "") is the second episode of Chernobyl . It was written by Craig Mazin and directed by Johan Renck . The episode first aired on May 13, 2019 on the US pay TV channel HBO.",Chernobyl,"Episode 2 "" Please Remain Calm "" Name Please Remain Calm Release date May 13, 2019 Runtime 62 minutes Director Johan Renck Writer Craig Mazin Episode guide Previous Next Episode 1 Episode 3 Episodes Episode 1 • Episode 2 • Episode 3 • Episode 4 • Episode 5
"" Episode 2 "" (named: "" Please Remain Calm "") is the second episode of Chernobyl . It was written by Craig Mazin and directed by Johan Renck . The episode first aired on May 13, 2019 on the US pay TV channel HBO.",146,2,9,175|146|181|180|179|183|174|177|149|178|182|154|155|150|152|176|153|191|151|148|1|147|187|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191,176|177|174|175|178|148|180|147|146|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|1|181|182|183|154|155|149|153|151|152|150|179|187
36,"Retrieve the correct article for the term 'Craig Mazin' given this context: Episode 2 "" Please Remain Calm "" Name Please Remain Calm Release date May 13, 2019 Runtime 62 minutes Director Johan Renck Writer Craig Mazin Episode guide Previous Next Episode 1 Episode 3 Episodes Episode 1 • Episode 2 • Episode 3 • Episode 4 • Episode 5
"" Episode 2 "" (named: "" Please Remain Calm "") is the second episode of Chernobyl . It was written by Craig Mazin and directed by Johan Renck . The episode first aired on May 13, 2019 on the US pay TV channel HBO.",Craig Mazin,"Episode 2 "" Please Remain Calm "" Name Please Remain Calm Release date May 13, 2019 Runtime 62 minutes Director Johan Renck Writer Craig Mazin Episode guide Previous Next Episode 1 Episode 3 Episodes Episode 1 • Episode 2 • Episode 3 • Episode 4 • Episode 5
"" Episode 2 "" (named: "" Please Remain Calm "") is the second episode of Chernobyl . It was written by Craig Mazin and directed by Johan Renck . The episode first aired on May 13, 2019 on the US pay TV channel HBO.",147,7,9,181|180|175|183|146|174|147|182|177|148|178|179|149|176|152|154|155|150|191|153|1|151|187|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191,177|176|174|178|175|148|180|146|147|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|1|181|182|183|154|155|153|149|151|152|150|179|187
37,"Retrieve the correct article for the term 'Johan Renck' given this context: Episode 2 "" Please Remain Calm "" Name Please Remain Calm Release date May 13, 2019 Runtime 62 minutes Director Johan Renck Writer Craig Mazin Episode guide Previous Next Episode 1 Episode 3 Episodes Episode 1 • Episode 2 • Episode 3 • Episode 4 • Episode 5
"" Episode 2 "" (named: "" Please Remain Calm "") is the second episode of Chernobyl . It was written by Craig Mazin and directed by Johan Renck . The episode first aired on May 13, 2019 on the US pay TV channel HBO.",Johan Renck,"Episode 2 "" Please Remain Calm "" Name Please Remain Calm Release date May 13, 2019 Runtime 62 minutes Director Johan Renck Writer Craig Mazin Episode guide Previous Next Episode 1 Episode 3 Episodes Episode 1 • Episode 2 • Episode 3 • Episode 4 • Episode 5
"" Episode 2 "" (named: "" Please Remain Calm "") is the second episode of Chernobyl . It was written by Craig Mazin and directed by Johan Renck . The episode first aired on May 13, 2019 on the US pay TV channel HBO.",148,3,6,175|181|148|174|180|146|177|183|178|182|179|176|154|147|149|152|191|150|155|187|1|153|151|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191,177|176|174|175|178|148|180|146|147|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|1|181|182|183|154|155|153|149|152|151|150|179|187
38,"Retrieve the correct article for the term 'Johan Renck' given this context: Episode 3 "" Open Wide, O Earth "" Name Open Wide, O Earth Release date May 20, 2019 Runtime 59 minutes Director Johan Renck Writer Craig Mazin Episode guide Previous Next Episode 2 Episode 4 Episodes Episode 1 • Episode 2 • Episode 3 • Episode 4 • Episode 5
"" Episode 3 "" (originally: "" Open Wide, O Earth "") is the third episode of Chernobyl . It was written by Craig Mazin and directed by Johan Renck . The episode first aired on May 20, 2019 on the US pay TV channel HBO.",Johan Renck,"Episode 3 "" Open Wide, O Earth "" Name Open Wide, O Earth Release date May 20, 2019 Runtime 59 minutes Director Johan Renck Writer Craig Mazin Episode guide Previous Next Episode 2 Episode 4 Episodes Episode 1 • Episode 2 • Episode 3 • Episode 4 • Episode 5
"" Episode 3 "" (originally: "" Open Wide, O Earth "") is the third episode of Chernobyl . It was written by Craig Mazin and directed by Johan Renck . The episode first aired on May 20, 2019 on the US pay TV channel HBO.",148,2,6,146|148|181|174|183|180|175|182|177|178|176|179|147|154|149|191|152|155|150|151|1|153|187|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191,176|177|175|178|174|148|180|146|147|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|1|181|182|183|154|155|153|151|149|179|150|152|187
39,"Retrieve the correct article for the term 'Craig Mazin' given this context: Episode 3 "" Open Wide, O Earth "" Name Open Wide, O Earth Release date May 20, 2019 Runtime 59 minutes Director Johan Renck Writer Craig Mazin Episode guide Previous Next Episode 2 Episode 4 Episodes Episode 1 • Episode 2 • Episode 3 • Episode 4 • Episode 5
"" Episode 3 "" (originally: "" Open Wide, O Earth "") is the third episode of Chernobyl . It was written by Craig Mazin and directed by Johan Renck . The episode first aired on May 20, 2019 on the US pay TV channel HBO.",Craig Mazin,"Episode 3 "" Open Wide, O Earth "" Name Open Wide, O Earth Release date May 20, 2019 Runtime 59 minutes Director Johan Renck Writer Craig Mazin Episode guide Previous Next Episode 2 Episode 4 Episodes Episode 1 • Episode 2 • Episode 3 • Episode 4 • Episode 5
"" Episode 3 "" (originally: "" Open Wide, O Earth "") is the third episode of Chernobyl . It was written by Craig Mazin and directed by Johan Renck . The episode first aired on May 20, 2019 on the US pay TV channel HBO.",147,5,9,146|183|181|180|147|174|182|148|176|175|178|149|179|177|155|150|151|152|153|154|191|1|187|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191,176|177|175|178|174|148|180|146|147|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|1|181|182|183|154|155|153|151|149|179|150|152|187
40,"Retrieve the correct article for the term 'Episode 2' given this context: Episode 3 "" Open Wide, O Earth "" Name Open Wide, O Earth Release date May 20, 2019 Runtime 59 minutes Director Johan Renck Writer Craig Mazin Episode guide Previous Next Episode 2 Episode 4 Episodes Episode 1 • Episode 2 • Episode 3 • Episode 4 • Episode 5
"" Episode 3 "" (originally: "" Open Wide, O Earth "") is the third episode of Chernobyl . It was written by Craig Mazin and directed by Johan Renck . The episode first aired on May 20, 2019 on the US pay TV channel HBO.",Episode 2,"Episode 3 "" Open Wide, O Earth "" Name Open Wide, O Earth Release date May 20, 2019 Runtime 59 minutes Director Johan Renck Writer Craig Mazin Episode guide Previous Next Episode 2 Episode 4 Episodes Episode 1 • Episode 2 • Episode 3 • Episode 4 • Episode 5
"" Episode 3 "" (originally: "" Open Wide, O Earth "") is the third episode of Chernobyl . It was written by Craig Mazin and directed by Johan Renck . The episode first aired on May 20, 2019 on the US pay TV channel HBO.",175,6,4,183|146|181|180|182|175|174|176|178|149|179|148|177|155|147|150|1|151|191|154|153|152|187|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191,177|176|174|175|178|148|180|146|147|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|1|181|182|183|155|154|149|153|151|179|152|150|187
41,"Retrieve the correct article for the term 'Episode 4' given this context: Episode 3 "" Open Wide, O Earth "" Name Open Wide, O Earth Release date May 20, 2019 Runtime 59 minutes Director Johan Renck Writer Craig Mazin Episode guide Previous Next Episode 2 Episode 4 Episodes Episode 1 • Episode 2 • Episode 3 • Episode 4 • Episode 5
"" Episode 3 "" (originally: "" Open Wide, O Earth "") is the third episode of Chernobyl . It was written by Craig Mazin and directed by Johan Renck . The episode first aired on May 20, 2019 on the US pay TV channel HBO.",Episode 4,"Episode 3 "" Open Wide, O Earth "" Name Open Wide, O Earth Release date May 20, 2019 Runtime 59 minutes Director Johan Renck Writer Craig Mazin Episode guide Previous Next Episode 2 Episode 4 Episodes Episode 1 • Episode 2 • Episode 3 • Episode 4 • Episode 5
"" Episode 3 "" (originally: "" Open Wide, O Earth "") is the third episode of Chernobyl . It was written by Craig Mazin and directed by Johan Renck . The episode first aired on May 20, 2019 on the US pay TV channel HBO.",177,10,1,183|146|181|180|182|174|175|176|178|177|149|179|148|155|147|150|1|151|191|154|152|153|187|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191,177|176|174|175|178|148|180|146|147|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|1|181|182|183|155|154|149|153|151|179|152|150|187
42,"Retrieve the correct article for the term 'Episode 1' given this context: Episode 3 "" Open Wide, O Earth "" Name Open Wide, O Earth Release date May 20, 2019 Runtime 59 minutes Director Johan Renck Writer Craig Mazin Episode guide Previous Next Episode 2 Episode 4 Episodes Episode 1 • Episode 2 • Episode 3 • Episode 4 • Episode 5
"" Episode 3 "" (originally: "" Open Wide, O Earth "") is the third episode of Chernobyl . It was written by Craig Mazin and directed by Johan Renck . The episode first aired on May 20, 2019 on the US pay TV channel HBO.",Episode 1,"Episode 3 "" Open Wide, O Earth "" Name Open Wide, O Earth Release date May 20, 2019 Runtime 59 minutes Director Johan Renck Writer Craig Mazin Episode guide Previous Next Episode 2 Episode 4 Episodes Episode 1 • Episode 2 • Episode 3 • Episode 4 • Episode 5
"" Episode 3 "" (originally: "" Open Wide, O Earth "") is the third episode of Chernobyl . It was written by Craig Mazin and directed by Johan Renck . The episode first aired on May 20, 2019 on the US pay TV channel HBO.",174,7,3,183|146|181|180|182|175|174|176|149|178|179|177|148|155|1|150|151|154|191|147|152|153|187|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191,177|176|174|175|178|148|180|146|147|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|1|181|182|183|155|154|149|153|179|151|152|150|187
43,"Retrieve the correct article for the term 'Episode 2' given this context: Episode 3 "" Open Wide, O Earth "" Name Open Wide, O Earth Release date May 20, 2019 Runtime 59 minutes Director Johan Renck Writer Craig Mazin Episode guide Previous Next Episode 2 Episode 4 Episodes Episode 1 • Episode 2 • Episode 3 • Episode 4 • Episode 5
"" Episode 3 "" (originally: "" Open Wide, O Earth "") is the third episode of Chernobyl . It was written by Craig Mazin and directed by Johan Renck . The episode first aired on May 20, 2019 on the US pay TV channel HBO.",Episode 2,"Episode 3 "" Open Wide, O Earth "" Name Open Wide, O Earth Release date May 20, 2019 Runtime 59 minutes Director Johan Renck Writer Craig Mazin Episode guide Previous Next Episode 2 Episode 4 Episodes Episode 1 • Episode 2 • Episode 3 • Episode 4 • Episode 5
"" Episode 3 "" (originally: "" Open Wide, O Earth "") is the third episode of Chernobyl . It was written by Craig Mazin and directed by Johan Renck . The episode first aired on May 20, 2019 on the US pay TV channel HBO.",175,6,4,183|146|181|180|182|175|174|176|178|149|179|148|177|155|147|150|1|151|191|154|153|152|187|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191,177|176|174|175|178|148|180|146|147|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|1|181|182|183|155|154|149|153|151|179|152|150|187
44,"Retrieve the correct article for the term 'Episode 4' given this context: Episode 3 "" Open Wide, O Earth "" Name Open Wide, O Earth Release date May 20, 2019 Runtime 59 minutes Director Johan Renck Writer Craig Mazin Episode guide Previous Next Episode 2 Episode 4 Episodes Episode 1 • Episode 2 • Episode 3 • Episode 4 • Episode 5
"" Episode 3 "" (originally: "" Open Wide, O Earth "") is the third episode of Chernobyl . It was written by Craig Mazin and directed by Johan Renck . The episode first aired on May 20, 2019 on the US pay TV channel HBO.",Episode 4,"Episode 3 "" Open Wide, O Earth "" Name Open Wide, O Earth Release date May 20, 2019 Runtime 59 minutes Director Johan Renck Writer Craig Mazin Episode guide Previous Next Episode 2 Episode 4 Episodes Episode 1 • Episode 2 • Episode 3 • Episode 4 • Episode 5
"" Episode 3 "" (originally: "" Open Wide, O Earth "") is the third episode of Chernobyl . It was written by Craig Mazin and directed by Johan Renck . The episode first aired on May 20, 2019 on the US pay TV channel HBO.",177,10,1,183|146|181|180|182|174|175|176|178|177|149|179|148|155|147|150|1|151|191|154|152|153|187|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191,177|176|174|175|178|148|180|146|147|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|1|181|182|183|155|154|149|153|151|179|152|150|187
45,"Retrieve the correct article for the term 'Episode 5' given this context: Episode 3 "" Open Wide, O Earth "" Name Open Wide, O Earth Release date May 20, 2019 Runtime 59 minutes Director Johan Renck Writer Craig Mazin Episode guide Previous Next Episode 2 Episode 4 Episodes Episode 1 • Episode 2 • Episode 3 • Episode 4 • Episode 5
"" Episode 3 "" (originally: "" Open Wide, O Earth "") is the third episode of Chernobyl . It was written by Craig Mazin and directed by Johan Renck . The episode first aired on May 20, 2019 on the US pay TV channel HBO.",Episode 5,"Episode 3 "" Open Wide, O Earth "" Name Open Wide, O Earth Release date May 20, 2019 Runtime 59 minutes Director Johan Renck Writer Craig Mazin Episode guide Previous Next Episode 2 Episode 4 Episodes Episode 1 • Episode 2 • Episode 3 • Episode 4 • Episode 5
"" Episode 3 "" (originally: "" Open Wide, O Earth "") is the third episode of Chernobyl . It was written by Craig Mazin and directed by Johan Renck . The episode first aired on May 20, 2019 on the US pay TV channel HBO.",178,6,5,183|146|181|182|180|178|175|174|176|149|179|177|148|155|1|150|151|154|147|153|152|191|187|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191,177|176|174|175|178|148|180|146|147|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|1|181|182|183|155|154|149|153|151|179|152|150|187
46,"Retrieve the correct article for the term 'Chernobyl' given this context: Episode 3 "" Open Wide, O Earth "" Name Open Wide, O Earth Release date May 20, 2019 Runtime 59 minutes Director Johan Renck Writer Craig Mazin Episode guide Previous Next Episode 2 Episode 4 Episodes Episode 1 • Episode 2 • Episode 3 • Episode 4 • Episode 5
"" Episode 3 "" (originally: "" Open Wide, O Earth "") is the third episode of Chernobyl . It was written by Craig Mazin and directed by Johan Renck . The episode first aired on May 20, 2019 on the US pay TV channel HBO.",Chernobyl,"Episode 3 "" Open Wide, O Earth "" Name Open Wide, O Earth Release date May 20, 2019 Runtime 59 minutes Director Johan Renck Writer Craig Mazin Episode guide Previous Next Episode 2 Episode 4 Episodes Episode 1 • Episode 2 • Episode 3 • Episode 4 • Episode 5
"" Episode 3 "" (originally: "" Open Wide, O Earth "") is the third episode of Chernobyl . It was written by Craig Mazin and directed by Johan Renck . The episode first aired on May 20, 2019 on the US pay TV channel HBO.",146,1,9,146|181|175|183|179|180|149|174|178|182|176|155|177|154|150|151|152|153|191|148|1|147|187|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191,176|177|175|178|174|148|180|147|146|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|1|181|182|183|154|155|153|151|149|150|179|152|187
47,"Retrieve the correct article for the term 'Craig Mazin' given this context: Episode 3 "" Open Wide, O Earth "" Name Open Wide, O Earth Release date May 20, 2019 Runtime 59 minutes Director Johan Renck Writer Craig Mazin Episode guide Previous Next Episode 2 Episode 4 Episodes Episode 1 • Episode 2 • Episode 3 • Episode 4 • Episode 5
"" Episode 3 "" (originally: "" Open Wide, O Earth "") is the third episode of Chernobyl . It was written by Craig Mazin and directed by Johan Renck . The episode first aired on May 20, 2019 on the US pay TV channel HBO.",Craig Mazin,"Episode 3 "" Open Wide, O Earth "" Name Open Wide, O Earth Release date May 20, 2019 Runtime 59 minutes Director Johan Renck Writer Craig Mazin Episode guide Previous Next Episode 2 Episode 4 Episodes Episode 1 • Episode 2 • Episode 3 • Episode 4 • Episode 5
"" Episode 3 "" (originally: "" Open Wide, O Earth "") is the third episode of Chernobyl . It was written by Craig Mazin and directed by Johan Renck . The episode first aired on May 20, 2019 on the US pay TV channel HBO.",147,5,9,146|183|181|180|147|174|182|148|176|175|178|149|179|177|155|150|151|152|153|154|191|1|187|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191,176|177|175|178|174|148|180|146|147|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|191|1|181|182|183|154|155|153|151|149|179|150|152|187
